# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,5日涨幅%,本月涨幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
301262.SZ,海看股份,20.32,-0.45,-2.17,2.94,-9.0,26.67,2.2,0.96,11716.0,0.2397,84.7344,24.8057,4.17
301263.SZ,泰恩康,21.21,-0.04,-0.19,8.1,9.27,1455.54,6.56,0.06,2067.0,0.0437,108.2976,77.2687,5.106
301265.SZ,华新科技,22.13,0.27,1.24,0.18,12.92,80.22,3.17,0.23,5689.0,0.1251,67.048,53.9824,3.0297
301266.SZ,宇邦新材,25.93,0.29,1.13,7.24,4.3,27.24,2.04,0.12,1683.0,0.0435,37.0733,35.1695,1.4297
301267.SZ,华厦眼科,15.15,0.02,0.13,2.99,0.33,21.79,2.35,0.03,1805.0,0.0273,127.26,98.2393,8.4
301268.SZ,铭利达,12.29,0.04,0.33,4.33,-6.56,-30.36,3.51,0.12,4175.0,0.051,49.2643,44.5556,4.0085
301269.SZ,华大九天,90.19,0.56,0.62,3.99,-9.67,-548.26,9.32,0.04,2291.0,0.2054,494.1281,494.1266,5.4787
301270.SZ,汉仪股份,32.85,-0.19,-0.58,0.4,1.7,841.87,3.45,0.12,1148.0,0.0379,32.85,31.0409,1.0
301272.SZ,英华特,35.42,0.06,0.17,3.57,-0.48,228.7,2.05,0.08,328.0,0.0116,20.684,14.0569,0.584
301273.SZ,瑞晨环保,36.71,-0.23,-0.62,2.37,-5.11,-47.59,4.31,0.08,580.0,0.0213,36.8196,28.2596,1.003
301275.SZ,汉朔科技,40.36,-0.24,-0.59,-1.75,-4.49,25.41,4.04,0.06,1875.0,0.0759,170.4806,121.4268,4.224
301276.SZ,嘉曼服饰,17.43,-0.2,-1.13,4.0,-7.44,18.17,1.07,0.1,744.0,0.013,22.5893,12.5962,1.296
301277.SZ,新天地,10.39,-0.03,-0.29,7.22,1.76,33.52,2.66,0.03,1253.0,0.013,40.7369,40.7369,3.9208
301278.SZ,快可电子,29.36,-0.11,-0.37,7.15,0.89,82.1,1.84,0.09,512.0,0.0151,26.3383,15.8797,0.8971
301279.SZ,金道科技,23.79,-0.31,-1.29,4.66,10.12,54.71,2.93,0.06,764.0,0.0183,40.092,31.0459,1.6852
301280.SZ,珠城科技,42.7,0.62,1.47,-2.36,1.25,30.93,4.29,0.28,2832.0,0.1204,81.7672,42.4581,1.9149
301281.SZ,科源制药,50.85,0.12,0.24,0.69,8.55,42.56,3.85,0.13,913.0,0.0462,55.0655,36.0791,1.0829
301282.SZ,金禄电子,47.37,1.04,2.24,1.37,28.59,89.8,5.7,0.86,15267.0,0.7169,99.9194,83.6449,2.1093
301283.SZ,聚胶股份,26.09,-0.04,-0.15,1.68,2.93,21.26,1.92,0.08,708.0,0.0184,30.3225,23.8361,1.1622
301285.SZ,鸿日达,103.38,0.31,0.3,15.17,9.95,-236.63,23.34,0.13,2713.0,0.2813,213.6554,213.6554,2.0667
301286.SZ,侨源股份,47.66,-0.18,-0.38,10.38,3.79,69.07,9.89,0.01,212.0,0.0101,190.6877,76.8736,4.001
301287.SZ,康力源,40.34,-0.6,-1.47,-2.28,-5.27,116.41,2.31,0.19,325.0,0.0132,26.8947,6.8704,0.6667
301288.SZ,清研环境,17.09,0.01,0.06,7.42,-2.89,-52.6,2.36,0.31,2418.0,0.0412,18.4589,13.3489,1.0801
301289.SZ,国缆检测,44.07,-0.3,-0.68,1.33,-2.02,33.71,3.34,0.03,202.0,0.0089,34.3746,34.1546,0.78
301290.SZ,东星医疗,29.75,0.55,1.88,11.05,3.05,43.65,1.38,1.22,9696.0,0.2903,29.8016,23.6746,1.0017
301291.SZ,明阳电气,34.35,-0.25,-0.72,1.63,2.91,61.98,2.07,0.15,2537.0,0.0873,108.0456,57.1283,3.1454
301292.SZ,海科新源,59.69,-0.6,-1.0,-5.99,-7.9,16.04,4.29,0.27,2324.0,0.1389,132.9868,50.8494,2.228
301293.SZ,三博脑科,50.92,-0.29,-0.57,3.66,-2.27,160.14,4.42,0.12,2141.0,0.1091,104.8886,87.6873,2.0599
301295.SZ,美硕科技,37.8,0.03,0.08,3.05,-3.65,42.91,3.89,0.33,967.0,0.0367,38.1024,11.1132,1.008
301296.SZ,新巨丰,6.41,-0.03,-0.47,3.55,-1.08,58.05,1.03,0.02,889.0,0.0057,27.4054,27.4048,4.2754
301297.SZ,富乐德,47.48,1.04,2.24,1.13,13.62,80.71,5.7,0.27,14491.0,0.6832,333.636,254.7801,7.0269
301298.SZ,东利机械,12.58,-0.09,-0.71,5.89,-4.42,179.94,2.03,0.17,1800.0,0.0227,18.4674,13.6121,1.468
301299.SZ,卓创资讯,47.24,-0.67,-1.4,2.56,2.71,39.3,5.02,0.32,1466.0,0.0696,28.657,21.6641,0.6066
301300.SZ,远翔新材,34.11,-1.11,-3.15,-6.19,3.86,45.88,2.74,0.79,3090.0,0.106,22.3178,13.3284,0.6543
301301.SZ,川宁生物,8.21,-0.01,-0.12,3.27,-5.21,33.02,2.3,0.09,5808.0,0.0476,183.2713,50.8325,22.3229
301302.SZ,华如科技,21.85,-0.37,-1.67,5.61,1.35,-27.13,2.4,0.47,6471.0,0.1427,34.0565,30.3693,1.5587
301303.SZ,真兰仪表,13.91,-0.01,-0.07,5.46,-2.32,24.09,1.67,0.03,1062.0,0.0147,56.8641,43.7528,4.088
301305.SZ,朗坤科技,27.73,0.19,0.69,13.55,11.09,17.5,1.7,0.74,9227.0,0.2547,67.0957,34.4827,2.4196
301306.SZ,西测测试,96.73,0.35,0.36,-2.58,-2.6,-71.26,8.96,0.13,739.0,0.0713,81.6401,56.3573,0.844
301307.SZ,美利信,60.4,1.32,2.23,4.95,1.24,-38.42,5.47,0.68,7477.0,0.4504,127.2024,65.967,2.106
301308.SZ,江波龙,351.95,3.68,1.06,3.83,-7.89,7.65,7.27,0.25,7018.0,2.4716,1617.7649,991.9777,4.5966
301309.SZ,万得凯,30.51,-0.07,-0.23,2.21,-6.27,22.01,1.83,0.06,391.0,0.0119,30.673,18.4918,1.0053
301310.SZ,鑫宏业,56.4,0.8,1.44,12.46,7.64,94.95,4.63,0.62,6068.0,0.3396,107.7008,55.0125,1.9096
301311.SZ,昆船智能,14.83,-0.57,-3.7,10.18,8.8,-32.6,2.11,0.91,21885.0,0.3303,35.592,35.592,2.4
301312.SZ,智立方,89.18,2.27,2.61,3.77,8.62,162.13,12.21,0.85,7226.0,0.6393,150.2865,75.6013,1.6852
301313.SZ,凡拓数创,31.33,-0.06,-0.19,4.89,-9.81,-20.75,5.38,0.34,2683.0,0.0839,32.0611,24.6603,1.0233
301314.SZ,科瑞思,47.83,0.28,0.59,9.7,3.63,373.26,2.53,0.59,1014.0,0.048,26.4261,8.2026,0.5525
301315.SZ,威士顿,44.12,-0.02,-0.05,17.9,8.71,173.19,3.85,0.52,4199.0,0.1864,38.8256,35.649,0.88
301316.SZ,慧博云通,40.2,0.0,0.0,10.29,5.04,416.77,14.93,0.15,5873.0,0.2362,162.2476,157.2814,4.036
301317.SZ,鑫磊股份,51.14,0.51,1.01,6.34,5.84,-90.48,6.94,0.14,734.0,0.0373,80.387,26.6934,1.5719
301318.SZ,维海德,21.34,-0.16,-0.74,3.64,-0.65,81.84,1.58,0.08,779.0,0.0167,28.8728,19.8847,1.353
301319.SZ,唯特偶,99.55,1.59,1.62,-0.9,-5.7,174.37,15.09,0.28,3843.0,0.381,181.6407,136.8994,1.8246
301320.SZ,豪江智能,14.06,-0.18,-1.26,4.46,0.29,223.71,2.42,0.23,2593.0,0.0364,25.5906,16.0578,1.8201
